Algoritmo TamanhoEntrada TempoMedio
BuscaLinear 334 38639
ComparaExtremos 214 2634
BuscaLinear 214 25514
ComparaExtremos 415 1959
BuscaLinear 415 52627
ComparaExtremos 388 2484
BuscaLinear 388 44537
ComparaExtremos 273 2214
BuscaLinear 273 30415
ComparaExtremos 233 2326
BuscaLinear 233 26527
ComparaExtremos 335 3002
BuscaLinear 335 39389
ComparaExtremos 122 1966
BuscaLinear 122 15324
ComparaExtremos 100 1726
BuscaLinear 100 23338
ComparaExtremos 323 2011
BuscaLinear 323 37086
ComparaExtremos 54 1643
BuscaLinear 54 7744
ComparaExtremos 463 2064
BuscaLinear 463 52064
ComparaExtremos 205 2942
BuscaLinear 205 23668
ComparaExtremos 198 1696
BuscaLinear 198 22108
ComparaExtremos 241 1531
BuscaLinear 241 26535
ComparaExtremos 388 1801
BuscaLinear 388 47194
ComparaExtremos 385 1584
BuscaLinear 385 42489
ComparaExtremos 178 1666
BuscaLinear 178 19991
ComparaExtremos 25 3287
BuscaLinear 25 4892
ComparaExtremos 302 1861
BuscaLinear 302 32899
ComparaExtremos 120 1576
BuscaLinear 120 13845
ComparaExtremos 209 1554
BuscaLinear 209 22986
ComparaExtremos 310 5185
BuscaLinear 310 42542
ComparaExtremos 20 1764
BuscaLinear 20 3414
ComparaExtremos 331 1524
BuscaLinear 331 36245
ComparaExtremos 65 1688
BuscaLinear 65 8089
ComparaExtremos 413 4128
BuscaLinear 413 46752
ComparaExtremos 384 2198
BuscaLinear 384 42616
ComparaExtremos 483 1891
BuscaLinear 483 57895
ComparaExtremos 209 8052
BuscaLinear 209 23608
ComparaExtremos 351 2589
BuscaLinear 351 38729
ComparaExtremos 79 1493
BuscaLinear 79 9462
ComparaExtremos 233 1448
BuscaLinear 233 25664
ComparaExtremos 181 1681
BuscaLinear 181 20118
ComparaExtremos 198 1539
BuscaLinear 198 22114
ComparaExtremos 472 1958
BuscaLinear 472 56792
ComparaExtremos 70 1606
BuscaLinear 70 8645
ComparaExtremos 296 1741
BuscaLinear 296 32268
ComparaExtremos 461 1479
BuscaLinear 461 50841
ComparaExtremos 212 1493
BuscaLinear 212 23294
ComparaExtremos 28 1561
BuscaLinear 28 4188
ComparaExtremos 315 1546
BuscaLinear 315 37738
ComparaExtremos 473 1801
BuscaLinear 473 52972
